time_s,sig_activation_sine_ratio_af,sig_activation_square_ratio_af,left_ventricle_stiffness_cgs_af,left_ventricle_pressure_mmhg_af,arterial_compliance_pressure_mmhg_af,left_ventricle_volume_ml_af,mitral_flow_ml_per_s_af,tricuspid_flow_ml_per_s_af
2.625,0.8863961030678952,0.22499999999999964,2221.1024330316823,38.774568128036925,41.58944410067302,33.25319353959236,0.0,-8.668507206848421e-08
2.626,0.8796421773307432,0.22599999999999953,2204.5215453469746,38.485109726946284,41.5904505468661,33.253193539654966,0.0,-8.668507206848421e-08
2.6270000000000002,0.8727095640080816,0.22699999999999987,2187.5019796398406,38.18799316897938,41.59088719503918,33.25319353971757,0.0,-8.668507206848421e-08
2.628,0.8655990774428894,0.22799999999999976,2170.0457351222935,37.88325335508502,41.59076795037982,33.25319353978018,0.0,-8.668507206848421e-08
2.629,0.8583115875267733,0.22899999999999965,2152.1549473782284,37.57092756690398,41.59010933886196,33.25319353984278,0.0,-8.668507206848421e-08
2.63,0.8508480195650441,0.22999999999999954,2133.8318880321835,37.25105546098654,41.588930308673746,33.25319353990538,0.0,-8.668507206848421e-08
2.6310000000000002,0.8432093541199073,0.23099999999999987,2115.078964364372,36.923679062071926,41.58725199251387,33.25319353996799,0.0,-8.668507206848421e-08
2.632,0.8353966268318438,0.23199999999999976,2095.8987188721767,36.588842755433106,41.58509753635687,33.253193540030594,0.0,-8.668507206848421e-08
2.633,0.8274109282191846,0.23299999999999965,2076.2938287780985,36.24659327828697,41.58249187983777,33.2531935400932,0.0,-8.668507206848421e-08
2.634,0.8192534034559966,0.23399999999999954,2056.267105484472,35.89697971027506,41.57946139016898,33.2531935401558,0.0,-8.668507206848421e-08
2.6350000000000002,0.8109252521283062,0.23499999999999988,2035.8214939749919,35.540053463015816,41.57603369783643,33.253193540218405,0.0,-8.668507206848421e-08
2.636,0.8024277279687714,0.23599999999999977,2014.9600721633337,35.175868268733176,41.57223746969396,33.25319354028101,0.0,-8.668507206848421e-08
2.637,0.7937621385698399,0.23699999999999966,1993.6860501889569,34.804480167963234,41.568102020953155,33.25319354034362,0.0,-8.668507206848421e-08
2.638,0.7849298450755557,0.23799999999999955,1972.0027696604893,34.42594749634569,41.56365714437108,33.25319354040622,0.0,-8.668507206848421e-08
2.6390000000000002,0.7759322618520722,0.23899999999999988,1949.9137028468374,34.04033087050279,41.55893284457651,33.25319354046882,0.0,-8.668507206848421e-08
